date_,cpi_mx,usdcny,crude_northsea,wheat_us,apple_stock
31/01/2000,11.02,8.2777,26.92,256.25,3.705
29/02/2000,10.52,8.2786,29.04,247,4.094
31/03/2000,10.11,8.2787,24.12,262.25,4.85
30/04/2000,9.73,8.2799,23.43,242.25,4.431
31/05/2000,9.48,8.2773,29.03,274.75,3
30/06/2000,9.41,8.2782,31.32,259.5,3.741
31/07/2000,9.12,8.2792,25.43,246.25,3.629
31/08/2000,9.1,8.2786,34.88,250.75,4.353
30/09/2000,8.85,8.2798,28.62,265,1.839
31/10/2000,8.91,8.2775,30.65,254.75,1.397
30/11/2000,8.87,8.2777,31.73,256,1.179
31/12/2000,8.96,8.2774,22.54,279.5,1.063
31/01/2001,8.11,8.2781,26.68,273,1.545
28/02/2001,7.09,8.2783,24.73,265,1.304
31/03/2001,7.17,8.2777,23.63,255,1.576
30/04/2001,7.11,8.2774,27.28,272.75,1.821
31/05/2001,6.95,8.277,29.21,267,1.425
30/06/2001,6.57,8.2767,26.45,246.75,1.661
31/07/2001,5.88,8.277,24.25,278.5,1.342
31/08/2001,5.93,8.2769,26.71,278,1.325
30/09/2001,6.14,8.2768,21.96,270.75,1.108
31/10/2001,5.89,8.2768,19.79,293.25,1.254
30/11/2001,5.39,8.2774,19.29,281.5,1.521
31/12/2001,4.4,8.2765,19.3,289,1.564
31/01/2002,4.79,8.2766,19.41,286,1.766
28/02/2002,4.79,8.2765,21.07,267.25,1.55
31/03/2002,4.66,8.2774,25.6,285,1.691
30/04/2002,4.7,8.2773,27.01,261.75,1.734
31/05/2002,4.68,8.2765,23.89,282.25,1.664
30/06/2002,4.94,8.2771,25.44,307,1.266
31/07/2002,5.51,8.2766,25.85,334,1.09
31/08/2002,5.29,8.2768,27.38,362.25,1.054
30/09/2002,4.95,8.2772,28.87,396.5,1.036
31/10/2002,4.94,8.2772,25.68,402.25,1.148
30/11/2002,5.39,8.2772,25.2,373,1.107
31/12/2002,5.7,8.277,29.99,325,1.024
31/01/2003,5.16,8.2769,31.45,320.5,1.026
28/02/2003,5.52,8.2775,33.91,312.5,1.072
31/03/2003,5.64,8.2774,27.98,286.75,1.01
30/04/2003,5.25,8.277,23.59,279.5,1.016
31/05/2003,4.7,8.2768,26.8,324.25,1.282
30/06/2003,4.27,8.2775,28.16,301.75,1.361
31/07/2003,4.13,8.2773,28.59,348.5,1.506
31/08/2003,4.04,8.2771,30.05,367.5,1.615
30/09/2003,4.04,8.277,28.34,360.25,1.48
31/10/2003,3.96,8.2766,27.94,369.5,1.635
30/11/2003,3.98,8.277,28.76,394.25,1.494
31/12/2003,3.98,8.2767,30.48,377,1.526
31/01/2004,4.2,8.2768,29.51,389,1.611
29/02/2004,4.53,8.2769,33.01,380.75,1.709
31/03/2004,4.23,8.277,32.36,408,1.931
30/04/2004,4.21,8.2771,35.12,381.5,1.841
31/05/2004,4.29,8.2768,36.98,362,2.004
30/06/2004,4.37,8.2766,33.51,338,2.324
31/07/2004,4.49,8.277,41.61,312.25,2.31
31/08/2004,4.82,8.2765,39.33,309.75,2.464
30/09/2004,5.06,8.2765,47.09,306.75,2.768
31/10/2004,5.4,8.2766,48.78,316.5,3.743
30/11/2004,5.43,8.2765,44.03,289.75,4.789
31/12/2004,5.19,8.2765,40.24,307.5,4.6
31/01/2005,4.54,8.2764,45.87,291,5.493
28/02/2005,4.27,8.2765,50.14,337.25,6.409
31/03/2005,4.39,8.2764,53.05,331,5.953
30/04/2005,4.6,8.2764,49.33,318,5.151
31/05/2005,4.6,8.2767,49.83,331.75,5.68
30/06/2005,4.33,8.2764,54.85,321.5,5.259
31/07/2005,4.47,8.1056,59.7,327.75,6.093
31/08/2005,3.95,8.0998,66.68,301.5,6.699
30/09/2005,3.51,8.092,62.56,346.25,7.659
31/10/2005,3.05,8.0845,58.35,317,8.227
30/11/2005,2.91,8.0804,53.41,304,9.689
31/12/2005,3.33,8.0702,58.87,339.25,10.27
31/01/2006,3.94,8.0608,65.43,343.25,10.787
28/02/2006,3.75,8.0402,60.05,370.25,9.784
31/03/2006,3.41,8.0172,64.94,347.75,8.96
30/04/2006,3.2,8.014,72.01,346.25,10.056
31/05/2006,3,8.0175,69,393.5,8.539
30/06/2006,3.18,7.9943,73.28,371.5,8.181
31/07/2006,3.06,7.969,75.16,397.5,9.709
31/08/2006,3.47,7.9527,69.64,404,9.693
30/09/2006,4.09,7.904,61.37,443,10.997
31/10/2006,4.29,7.8794,56.97,483,11.583
30/11/2006,4.09,7.8331,64.42,502,13.094
31/12/2006,4.05,7.8045,60.14,501,12.12
31/01/2007,3.98,7.7737,57.21,467.5,12.247
28/02/2007,4.11,7.7417,60.66,474.5,12.087
31/03/2007,4.21,7.7315,68.42,438,13.273
30/04/2007,3.99,7.7033,66.99,485.5,14.257
31/05/2007,3.95,7.646,68.45,517,17.313
30/06/2007,3.98,7.6151,72.83,582,17.434
31/07/2007,4.14,7.5728,77.82,630,18.823
31/08/2007,4.03,7.545,72.06,767,19.783
30/09/2007,3.79,7.5105,79.41,939,21.924
31/10/2007,3.74,7.4627,90.29,808,27.136
30/11/2007,3.93,7.3919,88.64,867,26.031
31/12/2007,3.76,7.3037,93.89,885,28.297
31/01/2008,3.7,7.1818,92.56,929.5,19.337
29/02/2008,3.72,7.1108,100.16,1073,17.86
31/03/2008,4.25,7.012,100.22,929,20.5
30/04/2008,4.55,6.9878,110.61,787.25,24.85
31/05/2008,4.95,6.9421,127.08,761.5,26.964
30/06/2008,5.26,6.8544,139.3,843.5,23.92
31/07/2008,5.39,6.8319,123.24,783.75,22.707
31/08/2008,5.57,6.8397,111.98,779.25,24.219
30/09/2008,5.47,6.846,97.44,680,16.237
31/10/2008,5.78,6.8388,64.4,536.25,15.37
30/11/2008,6.23,6.8347,51.73,542.5,13.239
31/12/2008,6.53,6.8277,41.76,610.75,12.193
31/01/2009,6.28,6.8519,44.94,568,12.876
28/02/2009,6.2,6.84,44.91,510.5,12.759
31/03/2009,6.04,6.8339,47.74,532.75,15.017
30/04/2009,6.17,6.821,49.1,524.25,17.976
31/05/2009,5.98,6.8291,64.98,637.25,19.401
30/06/2009,5.74,6.8305,68.34,511.25,20.347
31/07/2009,5.44,6.8321,70.88,528.25,23.341
31/08/2009,5.08,6.8308,68.76,471,24.03
30/09/2009,4.89,6.8264,67.67,457.5,26.479
31/10/2009,4.5,6.8275,74.4,494.25,26.929
30/11/2009,3.86,6.8274,77.91,567.5,28.559
31/12/2009,3.57,6.8271,77.2,541.5,30.105
31/01/2010,4.46,6.8269,70.46,474,27.438
28/02/2010,4.83,6.8261,76.68,506.5,29.231
31/03/2010,4.97,6.8259,81.3,450.5,33.571
30/04/2010,4.27,6.8253,85.99,491.75,37.299
31/05/2010,3.92,6.8278,73.74,457.75,36.697
30/06/2010,3.69,6.7818,73.87,464.75,35.933
31/07/2010,3.64,6.7745,78.28,661.5,36.75
31/08/2010,3.68,6.8078,74.31,652.5,34.729
30/09/2010,3.7,6.6921,81.42,674,40.536
31/10/2010,4.02,6.674,82.63,717.25,42.997
30/11/2010,4.32,6.667,84.91,650.25,44.45
31/12/2010,4.4,6.5933,94.3,794.25,46.08
31/01/2011,3.78,6.6025,99.78,840.75,48.474
28/02/2011,3.57,6.577,111.94,782.5,50.459
31/03/2011,3.04,6.5524,117.25,763.25,49.787
30/04/2011,3.36,6.4911,126.06,769.25,50.019
31/05/2011,3.25,6.4808,116.73,782.25,49.69
30/06/2011,3.28,6.4634,111.68,584.75,47.953
31/07/2011,3.55,6.4415,116.81,672.5,55.783
31/08/2011,3.42,6.3781,115.21,745.25,54.976
30/09/2011,3.14,6.382,104.26,609.25,54.474
31/10/2011,3.2,6.3549,109.52,628.25,57.826
30/11/2011,3.48,6.3793,111.32,595.75,54.6
31/12/2011,3.82,6.2949,107.58,652.75,57.857
31/01/2012,4.05,6.3083,110.77,666,65.211
29/02/2012,3.87,6.2938,123.9,664.25,77.491
31/03/2012,3.73,6.299,123.81,660.75,85.65
30/04/2012,3.41,6.2795,119.67,647.75,83.426
31/05/2012,3.85,6.3685,102.08,643.75,82.533
30/06/2012,4.34,6.354,97,739,83.429
31/07/2012,4.42,6.3617,105.94,888.25,87.251
31/08/2012,4.57,6.3486,115.46,870,95.034
30/09/2012,4.77,6.2847,113.25,902.5,95.301
31/10/2012,4.6,6.2377,109.41,864.5,85.046
30/11/2012,4.18,6.2281,112.01,844.75,83.611
31/12/2012,3.57,6.2303,111.94,778,76.025
31/01/2013,3.25,6.22,116.54,779.5,65.07
28/02/2013,3.55,6.2218,111.66,707.75,63.057
31/03/2013,4.25,6.209,109.27,687.75,63.237
30/04/2013,4.65,6.161,101.81,721.75,63.254
31/05/2013,4.63,6.1339,100.03,705.5,64.248
30/06/2013,4.09,6.1421,102.16,648.5,56.647
31/07/2013,3.47,6.1302,108.66,664.25,64.647
31/08/2013,3.46,6.12,116.17,643.25,69.602
30/09/2013,3.39,6.1191,109.22,678.5,68.107
31/10/2013,3.36,6.0942,108.89,667.5,74.672
30/11/2013,3.62,6.093,110.58,655,79.439
31/12/2013,3.97,6.054,110.82,605.25,80.146
31/01/2014,4.48,6.0598,107.2,555.75,71.514
28/02/2014,4.23,6.1427,109.3,599,75.177
31/03/2014,3.76,6.2168,106.98,697.25,76.677
30/04/2014,3.5,6.2593,108.65,713,84.299
31/05/2014,3.51,6.2473,110.66,627.25,90.429
30/06/2014,3.75,6.2033,112.09,564.75,92.93
31/07/2014,4.07,6.1738,103.9,530.25,95.6
31/08/2014,4.15,6.1437,101.26,550.25,102.5
30/09/2014,4.22,6.1394,93.17,477.75,100.75
31/10/2014,4.3,6.1129,84.8,532.5,108
30/11/2014,4.17,6.1434,68.99,577.25,118.93
31/12/2014,4.08,6.2057,55.76,589.75,110.38
31/01/2015,3.07,6.2505,50.77,502.75,117.16
28/02/2015,3,6.2695,61.81,517.5,128.46
31/03/2015,3.14,6.1997,53.34,511.75,124.43
30/04/2015,3.06,6.2032,64.86,467,125.15
31/05/2015,2.88,6.1976,63.89,477,130.28
30/06/2015,2.87,6.201,61.36,614.75,125.425
31/07/2015,2.74,6.2097,50.57,499.25,121.3
31/08/2015,2.59,6.3762,51.28,482.5,112.76
30/09/2015,2.52,6.3561,47.13,512.75,110.3
31/10/2015,2.48,6.3175,47.62,522,119.5
30/11/2015,2.21,6.3984,42.82,460,118.3
31/12/2015,2.13,6.4937,35.75,470,105.26
31/01/2016,2.61,6.576,33.2,479.25,97.34
29/02/2016,2.87,6.552,35.94,445,96.69
31/03/2016,2.6,6.4536,38.72,473.5,108.99
30/04/2016,2.54,6.478,46.36,478,93.74
31/05/2016,2.6,6.5854,48.31,464.5,99.86
30/06/2016,2.54,6.648,48.42,431.25,95.6
31/07/2016,2.65,6.635,41.01,407.75,104.21
31/08/2016,2.73,6.6793,46.18,361,106.1
30/09/2016,2.97,6.6718,47.71,402,113.05
31/10/2016,3.06,6.7758,46.69,416.25,113.54
30/11/2016,3.31,6.8894,49.86,380.5,110.52
31/12/2016,3.36,6.945,55.41,408,115.82
31/01/2017,4.72,6.884,54.68,420.75,121.35
28/02/2017,4.86,6.867,55.56,424.75,136.99
31/03/2017,5.35,6.8872,52.71,426.5,143.66
30/04/2017,5.82,6.8935,50.88,418.5,143.65
31/05/2017,6.16,6.818,50.08,429.25,152.76
30/06/2017,6.31,6.7809,48.23,511,144.02
31/07/2017,6.44,6.7266,52.17,474.5,148.73
31/08/2017,6.66,6.5901,52.41,410.25,164
30/09/2017,6.35,6.6528,56.53,448.25,154.12
31/10/2017,6.37,6.635,60.94,418.5,169.04
30/11/2017,6.63,6.6091,62.78,409.25,171.85
31/12/2017,6.77,6.5067,66.82,427,169.23
31/01/2018,5.55,6.2888,68.83,451.75,167.43
28/02/2018,5.34,6.331,64.46,484.5,178.12
31/03/2018,5.04,6.2753,69.13,451,167.78
30/04/2018,4.55,6.3323,74.87,512.5,165.26
31/05/2018,4.51,6.4106,77.13,526.25,186.87
30/06/2018,4.65,6.621,78.6,497.5,185.11
31/07/2018,4.81,6.8168,73.07,553.75,190.29
31/08/2018,4.9,6.8315,77.15,518.5,227.63
30/09/2018,5.02,6.8688,82.95,509,225.74
31/10/2018,4.9,6.9757,73.86,500.5,218.86
30/11/2018,4.72,6.9605,58.44,515.75,178.58
31/12/2018,4.83,6.8785,53.17,503.25,157.74
31/01/2019,4.37,6.7,60.91,516.5,166.44
28/02/2019,3.94,6.6941,65.79,452.5,173.15
31/03/2019,4,6.7121,67.51,457.75,189.95
30/04/2019,4.41,6.7349,71.85,418.5,200.67
31/05/2019,4.28,6.905,62.93,503,175.07
30/06/2019,3.95,6.8668,64.43,528,197.92
31/07/2019,3.78,6.8844,64.13,487.25,213.04
31/08/2019,3.16,7.156,59.2,451.25,208.74
30/09/2019,3,7.1483,59.85,495.75,223.97
31/10/2019,3.02,7.0391,59.55,508.75,248.76
30/11/2019,2.97,7.0324,61.34,547.5,267.25
31/12/2019,2.83,6.9632,66.42,558.75,293.65
31/01/2020,2.83,6.9426,56.33,553.75,309.51
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
